iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
KWT,342.11,2985.42,10774.64,17428.83,17.13,3.18,20,3,5,https://www.cbd.int/doc/world/kw/kw-nr-05-ar.pdf,342.11,2985.42,17.13,3.18
LAO,0,43361.76,0,230381.54,18.82,0,18,na,0,na,0,43361.76,18.82,0
LBN,43.56,811.17,18857.33,10223.15,7.93,0.23,na,na,0,na,43.56,811.17,7.93,0.23
LBR,283.14,3863.26,251784.82,95771.94,4.03,0.11,na,na,5,https://www.cbd.int/doc/world/lr/lr-nr-05-en.pdf,283.14,3863.26,4.03,0.11
LBY,2266.74,2073.11,357401.25,1616513.27,0.13,0.63,na,na,0,na,2266.74,2073.11,0.13,0.63
LCA,39.69,110.08,15423.36,603.86,18.23,0.26,na,na,0,na,39.69,110.08,18.23,0.26
LIE,0,71.72,0,159.99,44.82,0,12.3,0,5,https://www.cbd.int/doc/world/li/li-nr-05-en.pdf,0,71.72,44.82,0
LKA,401.3,19764.03,533491.18,65861.4,30.01,0.08,28,na,5,https://www.cbd.int/doc/world/lk/lk-nr-05-en.pdf,401.3,19764.03,30.01,0.08
LSO,0,7162.75,0,30574.79,23.43,0,na,na,0,na,0,7162.75,23.43,0
LTU,1585.63,11546.45,6844.21,64890.17,17.79,23.17,na,na,0,na,1585.63,11546.45,17.79,23.17
LUX,0,1003.92,0,2595.91,38.67,0,27,na,6,https://chm.cbd.int/database/record/7C393CC4-D665-CE1D-B971-CD4271602FB8,0,1003.92,38.67,0
LVA,4656.83,11935.9,28335.6,64533.12,18.5,16.43,17,na,5,https://www.cbd.int/doc/world/lv/lv-nr-05-en.pdf,4656.83,11935.9,18.5,16.43
MAF,1067.6,4.96,1101.1,53.27,9.31,96.96,na,na,0,na,1067.6,4.96,9.31,96.96
