"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"JAM",1859.991697,1760.198539,246488.4991,11058.94539,15.91651,0.754596,18,15,5,"https://www.cbd.int/doc/world/jm/jm-nr-05-en.pdf"
"JEY",185.03376,22.230736,2962.105951,125.218467,17.75356,6.246696,"na","na",0,"na"
"JOR",33.455456,2773.578439,93.665949,89689.84024,3.092411,35.71784,1.6,25,6,"https://chm.cbd.int/database/record/E3AD5C2C-E18B-0515-2B13-B5906FB9C971"
"JPN",332694.3851,109936.665,4040612.297,374092.7945,29.38754,8.233762,"na",8.3,6,"https://chm.cbd.int/database/record/134290A2-76E8-AF7A-E322-14E20399677D"
"KAZ",1249.454686,90083.03007,119085.0237,2719827.869,3.312086,1.049212,8.96,"na",6,"https://chm.cbd.int/database/record/104097C9-32D6-85B6-4630-6D69CC6DC2EF"
"KEN",857.477731,72682.9372,112400.4482,586770.0015,12.38696,0.762877,8,"na",5,"https://www.cbd.int/doc/world/ke/ke-nr-05-en.pdf"
"KGZ",0,13402.50539,0,199957.0236,6.702693,0,7.38,"na",6,"https://chm.cbd.int/database/record/411B9A5E-1A4D-858E-3E40-643E17C4E9CC"
"KHM",89.107039,47503.40661,47966.8519,182510.8526,26.02772,0.185768,18,"na",5,"https://www.cbd.int/doc/world/kh/kh-nr-05-en.pdf"
"KIR",408796.5464,230.885727,3459130.413,1032.564654,22.36041,11.8179,"na","na",0,"na"
"KNA",408.210603,62.014371,10262.9088,270.825058,22.89831,3.977533,"na","na",6,"https://chm.cbd.int/database/record/C0A7116F-F642-2089-08C4-81605C16F1BC"
"KOR",7979.400658,16692.13546,324993.7978,99712.88376,16.7402,2.455247,11.57,1.4,6,"https://chm.cbd.int/database/record/37C38AFC-AF9F-168E-B555-2EBA21CF2DCD"
"KWT",162.289134,2979.114917,11895.81218,17417.87587,17.10378,1.364254,20,3,5,"https://www.cbd.int/doc/world/kw/kw-nr-05-ar.pdf"
"LAO",0,38581.9612,0,231276.1399,16.68221,0,18,"na",0,"na"
"LBN",40.839545,268.277274,19315.84107,10329.04876,2.597309,0.21143,"na","na",0,"na"
"LBR",256.049624,3916.367591,247767.6811,96634.42399,4.052766,0.103343,"na","na",5,"https://www.cbd.int/doc/world/lr/lr-nr-05-en.pdf"
"LBY",2277.750889,3437.476191,357895.3125,1622615.431,0.211848,0.636429,"na","na",0,"na"
"LCA",34.007036,116.653527,15560.30791,622.311137,18.74521,0.21855,"na","na",0,"na"
"LIE",0,70.479381,0,167.064349,42.18697,0,12.3,0,5,"https://www.cbd.int/doc/world/li/li-nr-05-en.pdf"
"LKA",398.564426,19897.4988,534085.0497,66631.50337,29.862,0.074626,28,"na",5,"https://www.cbd.int/doc/world/lk/lk-nr-05-en.pdf"
"LSO",0,153.438412,0,30494.99377,0.503159,0,"na","na",0,"na"
"LTU",1567.706297,11027.50278,6125.653875,64696.51583,17.04497,25.59247,"na","na",0,"na"
"LUX",0,1332.327974,0,2603.081524,51.18272,0,27,"na",6,"https://chm.cbd.int/database/record/7C393CC4-D665-CE1D-B971-CD4271602FB8"
"LVA",4631.30083,11725.58525,28879.55287,64501.94768,18.17865,16.03661,17,"na",5,"https://www.cbd.int/doc/world/lv/lv-nr-05-en.pdf"
"MAF",1030.53608,7.60907,1068.741983,59.578286,12.77155,96.42516,"na","na",0,"na"
"MAR",1904.2686,17382.35496,276136.4075,407280.495,4.267908,0.689612,16.2,"na",6,"https://chm.cbd.int/database/record/650BA56F-8B7E-91A7-6622-56AEEEDD28CE"
