iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_marine_cover,percentage_oecms_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
GHA,219.256985,35674.7198,226758.5827,240329.9832,14.84406,0.096692,219.256985,35674.7198,0.096691813,14.84405704,20.66,na,National Biodiversity Strategy and Action Plan (v.2),https://www.cbd.int/doc/world/gh/gh-nbsap-v2-en.pdf
GIB,0,0.350582,426.745945,7.483277,4.684869,0,0,0.350582,0,4.684872683,na,na,0,na
GIN,583.248819,88286.16984,110136.2872,246426.8074,35.82653,0.52957,583.248819,88286.16984,0.529570075,35.82652827,15,na,5,https://www.cbd.int/doc/world/gn/gn-nr-05-fr.pdf
GLP,90959.18636,1172.00392,91039.08888,1678.541217,69.82277,99.91223,90959.18636,1172.00392,99.91223273,69.82276682,na,na,0,na
GMB,137.346684,830.357895,22745.53308,10757.9084,7.718581,0.60384,137.346684,830.357895,0.603840251,7.718581197,6.4,7.4,6,https://chm.cbd.int/database/record/72F99C09-A17F-497F-7B00-EE38CDE69E5D
GNB,9573.85604,8954.124362,106506.6285,34015.72123,26.32349,8.988976,9573.85604,8954.124362,8.988976719,26.3234882,13.75,12.63,National Biodiversity Strategy and Action Plan (v.2),https://www.cbd.int/doc/world/gw/gw-nbsap-v2-en.pdf
GNQ,729.714846,5228.231142,310365.4119,27136.01782,19.26676,0.235115,729.714846,5228.231142,0.235114745,19.26675895,na,na,0,na
GRC,22326.03257,46842.03965,494172.4508,133012.2689,35.21633,4.517863,22326.03257,46842.03965,4.517862648,35.21633007,21,6,5,https://www.cbd.int/doc/world/gr/gr-nr-05-en.pdf
GRD,25.765263,35.630484,26281.5155,373.565244,9.537955,0.098036,25.765263,35.630484,0.098035682,9.537954768,na,na,5,https://www.cbd.int/doc/world/gd/gd-nr-05-en.pdf
GRL,102254.1019,885525.0131,2264467.117,2154016.464,41.11041,4.515592,102254.1019,885525.0131,4.515592262,41.11041062,na,na,0,na
GTM,953.773734,22115.56234,118336.3927,109922.2585,20.11928,0.805985,953.773734,22115.56234,0.805985135,20.11927578,31.06,na,5,https://www.cbd.int/doc/world/gt/gt-nr-05-es.pdf
GUF,1365.476306,43588.10657,136563.8487,83034.50925,52.49397,0.999881,1365.476306,43588.10657,0.999881242,52.49396542,na,na,0,na
GUM,37.032027,14.949185,202535.0554,561.240901,2.663595,0.018284,37.032027,14.949185,0.018284255,2.663595075,na,na,0,na
GUY,25.855686,17952.53575,136909.9886,211200.2683,8.500243,0.018885,25.855686,17952.53575,0.018885171,8.500242871,8.6,na,0,https://www.cbd.int/doc/world/gy/gy-nbsap-v3-en.pdf
HKG,77.63466,461.758922,0,1102.47934,41.88368,0,77.63466,461.758922,0,41.88368029,na,na,0,na
HMD,70453.52882,391.198904,416110.9534,391.198904,100,16.93143,70453.52882,391.198904,16.93142856,100,na,na,0,na
HND,10070.08933,26567.52461,219971.1738,113291.4823,23.45059,4.577913,10070.08933,26567.52461,4.577913167,23.45059316,27,0,0,https://www.cbd.int/doc/world/hn/hn-nbsap-v2-es.pdf
HRV,4986.848226,21810.9776,55462.35822,56855.88522,38.36187,8.99141,4986.848226,21810.9776,8.991410365,38.36186441,12.2,1.94,5,https://www.cbd.int/doc/world/hr/hr-nr-05-en.pdf
HTI,1812.872701,1954.3493,123867.1844,27390.24191,7.135203,1.463562,1812.872701,1954.3493,1.463561726,7.135202773,6.28,na,5,https://www.cbd.int/doc/world/ht/ht-nr-05-fr.pdf
HUN,0,21047.74695,0,93142.45067,22.59737,0,0,21047.74695,0,22.59737295,22.2,0,5,https://www.cbd.int/doc/world/hu/hu-nr-05-en.pdf
IDN,181864.6695,231945.7149,5947954.167,1906555.047,12.1657,3.0576,181864.6695,231945.7149,3.057600386,12.16569725,22,na,5,https://www.cbd.int/doc/world/id/id-nr-05-en.pdf
IMN,419.422848,31.751404,0,582.226592,5.453444,0,419.422848,31.751404,0,5.45344449,na,na,0,na
IND,3928.327364,182646.7039,2301226.499,3061193.496,5.966519,0.170706,3928.327364,182646.7039,0.170705811,5.966519403,na,na,6,https://chm.cbd.int/database/record/93FF87C5-5D5D-B150-2A0F-5D3AF67E77C9
IOT,642270.8732,68.952846,642744.6863,68.952846,100,99.92628,642270.8732,68.952846,99.92628284,100,na,na,0,na
IRL,9943.921536,10123.20646,426441.7422,70128.37704,14.43525,2.331836,9943.921536,10123.20646,2.331835877,14.43524988,14,1.4,5,https://www.cbd.int/doc/world/ie/ie-nr-05-en.pdf
IRN,1808.644138,140225.7781,224800.6295,1627857.17,8.614133,0.804555,1808.644138,140225.7781,0.804554748,8.614132779,10.4,na,5,https://www.cbd.int/doc/world/ir/ir-nr-05-en.pdf
IRQ,0,6713.746023,595.830425,437830.5052,1.533412,0,0,6713.746023,0,1.533412118,na,na,0,na
ISL,3170.012729,20353.51981,752783.5116,102301.7663,19.89557,0.421106,3170.012729,20353.51981,0.421105494,19.89557027,na,na,0,https://chm.cbd.int/database/record/BF781FE9-A0CB-A201-0EAA-F59EC1EC1EFA
ISR,11.840292,5132.611984,27855.0403,20958.0329,24.48995,0.042507,11.840292,5132.611984,0.042506821,24.48995098,21,na,5,https://www.cbd.int/doc/world/il/il-nr-05-en.pdf
ITA,52464.94709,64766.99988,538880.953,301335.3097,21.49333,9.735907,52464.94709,64766.99988,9.735906751,21.49333244,21,19.1,6,https://chm.cbd.int/database/record/075ADA4C-96AD-4864-9C6C-D252F644A314
