"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"RUS","228247","1641401","7673314","16874836","9.73","2.97","0.02","0",5,"https://www.cbd.int/doc/world/ru/ru-nr-05-ru.pdf"
"RWA","0","2320","0","25452","9.11","0","0","0",5,"https://www.cbd.int/doc/world/rw/rw-nr-05-en.pdf"
"SAU","5495","92064","220338","1934058","4.76","2.49","0","0",,"https://www.cbd.int/doc/world/sa/sa-nr-05-ar.pdf"
"SGP","0","34","763","605","5.55","0.01","0","0",5,"https://www.cbd.int/doc/world/sg/sg-nr-05-en.pdf"
"SGS","1233453","505","1445887","3972","12.73","85.31","0","0",0,
"SHN","453613","157","1647745","434","36.18","27.53","0","0",0,
"SJM","82714","40092","1081582","61261","65.44","7.65","0","0",0,
"SLE","863","6825","160453","72709","9.39","0.54","0","0",5,"https://www.cbd.int/doc/world/sl/sl-nr-05-en.pdf"
"SLV","665","1806","94238","20573","8.78","0.71","0","0",0,
"SOM","0","0","784502","637992","0","0","0","0",5,"https://www.cbd.int/doc/world/so/so-nr-05-en.pdf"
"SPM","7","7","12367","238","3.01","0.06","0","0",0,
"SRB","0","6687","0","88509","7.56","0","0","0",5,"https://www.cbd.int/doc/world/rs/rs-nr-05-en.pdf"
"SSD","0","98214","0","633580","15.5","0","0","0",5,"https://www.cbd.int/doc/world/ss/ss-nr-05-en.pdf"
"STP","35","289","131709","989","29.26","0.03","0","0",5,"https://www.cbd.int/doc/world/st/st-nr-05-fr.pdf"
"SUR","1981","21426","128363","147558","14.52","1.54","0.02","0",0,
"SVK","0","18395","0","48941","37.59","0","0","0",5,"https://www.cbd.int/doc/world/sk/sk-nr-05-en.pdf"
"SXM","43","0","498","36","0","8.7","0","0",0,
"SYR","25","1293","10204","188613","0.69","0.25","0","0",0,
"TCA","150","452","154242","1018","44.37","0.1","0","0",0,
"TCD","0","259842","0","1276586","20.35","0","0","0",5,"https://www.cbd.int/doc/world/td/td-nr-05-fr.pdf"
"TGO","31","15877","15521","57481","27.62","0.2","0","0",,"https://chm.cbd.int/database/record/77EEB058-F6CE-9107-7EE8-1F96B95E6314"
"TJK","0","31690","0","142244","22.28","0","0","0",0,
"TKL","10","1","321243","15","6.58","0","0","0",0,
"TKM","2332","15336","77885","472138","3.25","2.99","0.03","0",5,"https://www.cbd.int/doc/world/tm/tm-nr-05-ru.pdf"
"TLS","584","1959","42501","15007","13.06","1.37","0","0",0,
"TON","390","96","668055","767","12.59","0.06","0","0",0,
"TUR","270","1709","255926","782239","0.22","0.11","0","0",5,"https://www.cbd.int/doc/world/tr/tr-nr-05-en.pdf"
"TUV","62","1","731900","42","1.95","0.01","0","0",,"No information in 5th national report"
"TWN","3846","7146","342997","36245","19.72","1.12","0","0",0,
"UGA","0","39059","0","243145","16.06","0","0","0",5,"https://www.cbd.int/doc/world/ug/ug-nr-05-en.pdf"
"UKR","4606","23855","134873","598829","3.98","3.42","0","0",5,"https://www.cbd.int/doc/world/ua/ua-nr-05-en.pdf"
"UMI","1278997","363","1964385","363","100","65.11","0","0",0,
"URY","932","6150","130098","178460","3.45","0.72","0.01","0",6,"https://chm.cbd.int/database/record/50CCF748-F428-8010-744B-D5B1BD5F3A66"
"UZB","0","15201","0","450363","3.38","0","0","0",5,"https://www.cbd.int/doc/world/uz/uz-nr-05-en.pdf"
"VEN","16500","496701","473325","917368","54.14","3.49","0.02","0",5,"https://www.cbd.int/doc/world/ve/ve-nr-05-es.pdf"
"VGB","3","16","80529","176","9.11","0","0","0",0,
"VIR","306","52","36030","376","13.79","0.85","0","0",0,
"VNM","3630","24994","647232","329880","7.58","0.56","0","0",5,"https://www.cbd.int/doc/world/vn/vn-nr-05-en.pdf"
"VUT","48","528","622073","12575","4.2","0.01","0","0",0,
"WLF","0","0","259805","181","0.17","0","0","0",0,
"WSM","115","213","132306","2894","7.35","0.09","0","0",5,"https://www.cbd.int/doc/world/ws/ws-nr-05-en.pdf"
"YEM","2562","3520","548014","455939","0.77","0.47","0","0",5,"https://www.cbd.int/doc/world/ye/ye-nr-05-en.pdf"
"ZMB","0","286161","0","755640","37.87","0","0","0",6,"https://chm.cbd.int/database/record/AB99C119-FDF3-C589-9CBB-B0B2C39A58C8"
"ZWE","0","106837","0","392573","27.21","0","0","0",5,"https://www.cbd.int/doc/world/zw/zw-nr-05-en.pdf"
"SYC","209930","242","1340839","487","49.64","15.66","0","0.03",5,"https://www.cbd.int/doc/world/sc/sc-nr-05-en.pdf"
"TTO","37","1595","75798","5213","30.59","0.05","0","0.1",5,"https://chm.cbd.int/api/v2013/documents/C7EFE124-DEAA-B14C-3D98-D0B9E66D99DE/attachments/TT%20Fifth%20national%20Report%20to%20the%20CBD_FI0L.pdf"
"PER","4037","279620","838330","1298537","21.53","0.48","0","0.3",6,"https://chm.cbd.int/database/record/90F134F5-E726-C4E5-77FD-F2E103B0F872"
"SVN","208","10877","186","20309","53.56","100","0","0.4",5,"https://www.cbd.int/doc/world/si/si-nr-05-en.pdf"
"IRL","9945","10125","426442","70128","14.44","2.33","0","1.4",5,"https://www.cbd.int/doc/world/ie/ie-nr-05-en.pdf"
"KOR","7899","15656","324994","99713","15.7","2.43","0.01","1.4",6,"https://chm.cbd.int/database/record/37C38AFC-AF9F-168E-B555-2EBA21CF2DCD"
"MYS","6977","63419","451742","331701","19.12","1.54","0","1.4",5,"https://www.cbd.int/doc/world/my/my-nr-05-en.pdf"
"BRA","977793","2509321","3672584","8529399","29.42","26.62","0","1.5",5,"https://www.cbd.int/doc/world/br/br-nr-05-en.pdf"
"COL","124671","169545","730742","1145033","14.81","17.06","0.04","1.5","national Biodiversity Strategy and Action Plan (v.3)","https://www.cbd.int/doc/world/co/co-nbsap-v3-es.pdf"
"HRV","4737","21752","55462","56856","38.26","8.54","0.01","1.94",5,"https://www.cbd.int/doc/world/hr/hr-nr-05-en.pdf"
"BGD","4530","6456","84563","140160","4.61","5.36","0.01","2.05",5,"https://www.cbd.int/doc/world/bd/bd-nr-05-en.pdf"
"SEN","1766","50179","158426","197924","25.35","1.11","0.01","2.44",6,"https://chm.cbd.int/database/record/58DAD993-C79B-6275-8330-99B6F44BA483"
"CRI","15062","14609","576110","51636","28.29","2.61","0.01","2.7",6,"https://chm.cbd.int/database/record/158F6797-D2D0-91DF-E1D1-55EF84D295E0"
"KWT","176","3048","11896","17418","17.5","1.48","0","3",5,"https://www.cbd.int/doc/world/kw/kw-nr-05-ar.pdf"
"NOR","7717","54749","926318","325288","16.83","0.83","0","3.1",6,"https://chm.cbd.int/database/record/D874F120-974C-0CFE-32C4-6BCBE13146B5"
"CHL","1506502","155155","3657313","759821","20.42","41.19","0","4.3",5,"https://www.cbd.int/doc/world/cl/cl-nr-05-es.pdf"
"GRC","22326","46842","494172","133012","35.22","4.52","0","6",5,"https://www.cbd.int/doc/world/gr/gr-nr-05-en.pdf"
"SLB","1879","515","1609757","29192","1.76","0.12","0","6",5,"https://www.cbd.int/doc/world/sb/sb-nr-05-en.pdf"
"TZA","7330","361594","243130","947253","38.17","3.02","0.02","6.5",6,"https://chm.cbd.int/database/record/57914673-CF81-82CF-0808-C76D810BAB97"
